site,date,start_hour,value,variable,units,quality,prelim,name 
3135,2021-01-11,11,0.1860,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-11,12,0.1690,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-11,13,0.1450,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-11,14,0.1530,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-11,15,0.1390,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-11,16,0.2320,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-11,17,0.3320,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-11,18,0.3610,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-11,19,0.4320,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-11,20,0.7740,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-11,21,1.4350,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-11,22,1.4340,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-11,23,0.7070,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-12,0,0.3360,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-12,1,0.2210,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-12,2,0.2280,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-12,3,0.2440,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-12,5,0.6990,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-12,6,0.7300,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-12,7,0.8420,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-12,8,0.3800,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-12,9,0.2320,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-12,10,0.1410,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-12,11,0.2020,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-12,12,0.1090,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-12,13,0.1290,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-12,14,0.1810,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-12,15,0.1570,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-12,16,0.2870,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-12,17,0.5780,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-12,18,0.7650,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
3135,2021-01-12,19,0.8420,CO,Parts Per Million ( ppm ),,,Calexico-Ethel Street 
